english;russian
certificate of analysis;Сертификат анализа
product name;НАИМЕНОВАНИЕ ПРОДУКТА
for biochemistry;Для биохимии
cas number;НОМЕР CAS
molecular formula;МОЛЕКУЛЯРНАЯ ФОРМУЛА
molecular weight (m.w);МОЛЕКУЛЯРНЫЙ ВЕС (М.В.)
batch number;НОМЕР ПАРТИИ
mfg date;ДАТА ПРОИЗВОДСТВА
best before;ГОДЕН ДО
date of analysis;ДАТА АНАЛИЗА
description;ПОКАЗАТЕЛЬ
limits;ТРЕБОВАНИЯ
results;РЕЗУЛЬТАТЫ
test method;МЕТОД ИСПЫТАНИЯ
appearance;Внешний вид
white powder;Белый порошок
visual;Визуальный
assay;Содержание основного вещества
melting range;Диапазон температуры плавления
heavy metal (as pb);Тяжелые металлы (в пересчете на Pb)
disclaimer:;ОТКАЗ ОТ ОТВЕТСТВЕННОСТИ:
min;Мин.
max;Макс.
www.spanlab.in;www.spanlab.in
formic acid ar;ФОРМИАТОВАЯ КИСЛОТА AR
ch2o2;CH2O2
fac06847;FAC06847
apr – 2026;APR – 2026
mar – 2031;MAR – 2031
a clear colorless liquid with pungent odor;Прозрачная бесцветная жидкость с резким запахом.
assay (alkalimetric);Анализ (алкалиметрический)
min 98%;Min 98%
gc;GC (ГХ) — газовая хроматография.
weight/ ml at 20°c;Вес/мл при 20°C
1.216 - 1.220 g;1.216 - 1.220 г
1.219 g;1.219 g
astm-d-1613-17;ASTM-D-1613-17
freezing point;Точка замерзания
min 5.5 deg c;Min 5,5 °C
5.8 deg c;5.8 °C
astm-d-1353-13;ASTM-D-1353-13
insoluble matter in water;Нерастворимые вещества в воде
passes test;Проходит тест.
acetic acid (ch3cooh);Уксусная кислота (CH3COOH)
max 0.3%;Max 0,3%
chloride (cl);Хлорид (Cl)
max 0.0005%;Max 0,0005%
nitrogen compounds (as;Соединения азота (как
max 0.002%;Max 0,002%
sulphate (so4);Сульфат (SO4)
max 0.001%;Max 0,001%
sulphite (as so3);Сульфит (в пересчёте на SO3)
copper (cu);Медь (Cu)
iron (fe);Железо (Fe)
max 0.0003%;Max 0,0003%
not detected;Не обнаружено
lead (pb);Свинец (Pb)
non-volatile matter;Нелетучие вещества
span chemie™ products are to be used as lab chemicals for r&d only. not for drug,;Продукты Span Chemie™ должны использоваться в качестве лабораторных химических веществ только для исследований и разработок. Не для лекарственных препаратов,
medicinal, household or other uses.;медицинского, бытового или иного применения.
span chemie™ shall not be responsible for any damage resulting from handling or from;Span Chemie™ не несёт ответственности за любой ущерб, возникший в результате обращения с веществом или из-за контакта с вышеуказанным продуктом.
contact with the above product.;
dimethyl sulphoxide ar;ДИМЕТИЛ СУЛЬФОКСИД AR
ch3so.ch3;CH3SO.CH3
dsy07139;DSY07139
a clear colorless liquid;Прозрачная бесцветная жидкость
purity (by gc);Чистота (по ГХ)
min 99.0%;Min 99,0%
1.099 - 1.101 g;1,099 – 1,101 g
1.099 g;1.099 г
18 - 18.4 deg c;18 - 18,4 °C
18.2° c;18.2° C
refractive index (20°c;589 nm)
water;Вода.
max 0.1%;Max 0,1%
max 0.01%;Max 0,01%
max 0.0001%;Max 0,0001%
acidity;Кислотность
max 0.0005 meq/g;Max 0,0005 мэкв/г
0.0001 meq/g;0.0001 мэкв/г
alkalinity;Щелочность
max 0.0002 meq/g;Max 0,0002 мэкв/г
nil;Ниль
dimethyl sulphoxide for uv spectroscopy;ДИМЕТИЛСУЛЬФОКСИД Для УФ-спектроскопии
duv01478;DUV01478
min 99.8%;Min 99,8%
uv transmittance (1cm cell, ref: water):;Коэффициент пропускания УФ-излучения (клетка 1 см, реф.: вода):
at 270 nm;at 270 nm
min 10%;Min 10%
at 280 nm;at 280 nm
min 40%;Min 40%
at 310 nm;при 310 нм
min 80%;Min 80%
at 350 nm;at 350 nm
residue on evaporation;Остаток после выпаривания
0.00004 meq/g;0.00004 мэкв/г
contact with the ambove product.;Контакт с вышеуказанным продуктом.
nitrobenzene 99% ar;НИТРОБЕНЗЕН 99% AR
nsy08122;NSY08122
mar – 2026;MAR – 2026
feb – 2031;FEB – 2031
pale yellow to yellow colored liquid;Бесцветная жидкость от бледно-жёлтого до жёлтого цвета.
yellow colored liquid;жидкость жёлтого цвета
min 99%;Min 99%
max 0.0002%;Max 0,0002%
max 0.005%;Max 0,005%
water (by kf);Вода (по KF)
max 0.15%;Max 0,15%
afb09814;AFB09814
233 - 238 °c;233 - 238 °C
233.1 - 234.5 °c;233.1 - 234.5 °C
boe08167;BOE08167
yellow colored powder;Жёлтый порошкообразный материал
assay (ex bi);Assay (ex Bi)
